Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_9, BT1_8, BT1_7, BT1_6, BT1_5, BT1_4, BT1_3, BT1_2, BT1",CR2032 slim holder,9,Battery_Cell,
"C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",0603,9,10u,
"C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7, C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0603,81,100n,
"D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",0603,9,RED,
"D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",0603,9,GREEN,
"D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3",0603,9,BLUE,
"D4_9, D4_8, D4_7, D4_6, D4_5, D4_4, D4_3, D4_2, D4",0603,9,YELLOW,
"J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3, J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4",TestPoint_Pad_1.0x1.0mm,36,Conn_01x01_Pin,
"JP1_9, JP1_8, JP1_7, JP1_6, JP1_5, JP1_4, JP1_3, JP1_2, JP1, JP2_9, JP2_8, JP2_7, JP2_6, JP2_5, JP2_4, JP2_3, JP2_2, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,18,Jumper_2_Open,
"Q1_9, Q1_8, Q1_7, Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1",SOT-23,9,PMOS,
"R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0603,45,10k,
"R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13",0603,27,330,
"R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11",0603,9,1.5k,
"R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6, R7_9, R7_8, R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8, R9_9, R9_8, R9_7, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0603,36,1k,
"SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1, SW2_9, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2, SW3_9, SW3_8, SW3_7, SW3_6, SW3_5, SW3_4, SW3_3, SW3_2, SW3, SW4_9, SW4_8, SW4_7, SW4_6, SW4_5, SW4_4, SW4_3, SW4_2, SW4",SW_Push mini square,36,SW_Push,
"U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",LQFP-48_7x7mm_P0.5mm,9,STM32F030C6Tx,
