Designator,Mid X,Mid Y,Rotation,Layer
BT1_9,128.71,-157.42,0.0,bottom
BT1_8,100.0,-157.42,0.0,bottom
BT1_7,157.42,-128.71,0.0,bottom
BT1_6,128.71,-128.71,0.0,bottom
BT1_5,100.0,-128.71,0.0,bottom
BT1_4,157.42,-100.0,0.0,bottom
BT1_3,128.71,-100.0,0.0,bottom
BT1_2,100.0,-100.0,0.0,bottom
BT1,157.42,-157.42,0.0,bottom
C1_9,123.398678,-149.242136,180.0,top
C1_8,94.688678,-149.242136,180.0,top
C1_7,152.108678,-120.532136,180.0,top
C1_6,123.398678,-120.532136,180.0,top
C1_5,94.688678,-120.532136,180.0,top
C1_4,152.108678,-91.822136,180.0,top
C1_3,123.398678,-91.822136,180.0,top
C1_2,94.688678,-91.822136,180.0,top
C1,152.108678,-149.242136,180.0,top
C10_9,125.585,-164.22,0.0,top
C10_8,96.875,-164.22,0.0,top
C10_7,154.295,-135.51,0.0,top
C10_6,125.585,-135.51,0.0,top
C10_5,96.875,-135.51,0.0,top
C10_4,154.295,-106.8,0.0,top
C10_3,125.585,-106.8,0.0,top
C10_2,96.875,-106.8,0.0,top
C10,154.295,-164.22,0.0,top
C2_9,123.386229,-153.227165,180.0,top
C2_8,94.676229,-153.227165,180.0,top
C2_7,152.096229,-124.517165,180.0,top
C2_6,123.386229,-124.517165,180.0,top
C2_5,94.676229,-124.517165,180.0,top
C2_4,152.096229,-95.807165,180.0,top
C2_3,123.386229,-95.807165,180.0,top
C2_2,94.676229,-95.807165,180.0,top
C2,152.096229,-153.227165,180.0,top
C3_9,123.401177,-151.21316,180.0,top
C3_8,94.691177,-151.21316,180.0,top
C3_7,152.111177,-122.50316,180.0,top
C3_6,123.401177,-122.50316,180.0,top
C3_5,94.691177,-122.50316,180.0,top
C3_4,152.111177,-93.79316,180.0,top
C3_3,123.401177,-93.79316,180.0,top
C3_2,94.691177,-93.79316,180.0,top
C3,152.111177,-151.21316,180.0,top
C4_9,122.11,-158.02,90.0,top
C4_8,93.4,-158.02,90.0,top
C4_7,150.82,-129.31,90.0,top
C4_6,122.11,-129.31,90.0,top
C4_5,93.4,-129.31,90.0,top
C4_4,150.82,-100.6,90.0,top
C4_3,122.11,-100.6,90.0,top
C4_2,93.4,-100.6,90.0,top
C4,150.82,-158.02,90.0,top
C5_9,131.821216,-164.211068,180.0,top
C5_8,103.111216,-164.211068,180.0,top
C5_7,160.531216,-135.501068,180.0,top
C5_6,131.821216,-135.501068,180.0,top
C5_5,103.111216,-135.501068,180.0,top
C5_4,160.531216,-106.791068,180.0,top
C5_3,131.821216,-106.791068,180.0,top
C5_2,103.111216,-106.791068,180.0,top
C5,160.531216,-164.211068,180.0,top
C6_9,121.21,-155.12,180.0,top
C6_8,92.5,-155.12,180.0,top
C6_7,149.92,-126.41,180.0,top
C6_6,121.21,-126.41,180.0,top
C6_5,92.5,-126.41,180.0,top
C6_4,149.92,-97.7,180.0,top
C6_3,121.21,-97.7,180.0,top
C6_2,92.5,-97.7,180.0,top
C6,149.92,-155.12,180.0,top
C7_9,117.31,-161.92,90.0,top
C7_8,88.6,-161.92,90.0,top
C7_7,146.02,-133.21,90.0,top
C7_6,117.31,-133.21,90.0,top
C7_5,88.6,-133.21,90.0,top
C7_4,146.02,-104.5,90.0,top
C7_3,117.31,-104.5,90.0,top
C7_2,88.6,-104.5,90.0,top
C7,146.02,-161.92,90.0,top
C8_9,134.91,-161.32,180.0,top
C8_8,106.2,-161.32,180.0,top
C8_7,163.62,-132.61,180.0,top
C8_6,134.91,-132.61,180.0,top
C8_5,106.2,-132.61,180.0,top
C8_4,163.62,-103.9,180.0,top
C8_3,134.91,-103.9,180.0,top
C8_2,106.2,-103.9,180.0,top
C8,163.62,-161.32,180.0,top
C9_9,134.70545,-149.11837,0.0,top
C9_8,105.99545,-149.11837,0.0,top
C9_7,163.41545,-120.40837,0.0,top
C9_6,134.70545,-120.40837,0.0,top
C9_5,105.99545,-120.40837,0.0,top
C9_4,163.41545,-91.69837,0.0,top
C9_3,134.70545,-91.69837,0.0,top
C9_2,105.99545,-91.69837,0.0,top
C9,163.41545,-149.11837,0.0,top
D1_9,120.41,-158.02,270.0,top
D1_8,91.7,-158.02,270.0,top
D1_7,149.12,-129.31,270.0,top
D1_6,120.41,-129.31,270.0,top
D1_5,91.7,-129.31,270.0,top
D1_4,149.12,-100.6,270.0,top
D1_3,120.41,-100.6,270.0,top
D1_2,91.7,-100.6,270.0,top
D1,149.12,-158.02,270.0,top
D2_9,137.03377,-157.434257,90.0,top
D2_8,108.32377,-157.434257,90.0,top
D2_7,165.74377,-128.724257,90.0,top
D2_6,137.03377,-128.724257,90.0,top
D2_5,108.32377,-128.724257,90.0,top
D2_4,165.74377,-100.014257,90.0,top
D2_3,137.03377,-100.014257,90.0,top
D2_2,108.32377,-100.014257,90.0,top
D2,165.74377,-157.434257,90.0,top
D3_9,128.71,-149.12,0.0,top
D3_8,100.0,-149.12,0.0,top
D3_7,157.42,-120.41,0.0,top
D3_6,128.71,-120.41,0.0,top
D3_5,100.0,-120.41,0.0,top
D3_4,157.42,-91.7,0.0,top
D3_3,128.71,-91.7,0.0,top
D3_2,100.0,-91.7,0.0,top
D3,157.42,-149.12,0.0,top
D4_9,128.71,-165.82,0.0,top
D4_8,100.0,-165.82,0.0,top
D4_7,157.42,-137.11,0.0,top
D4_6,128.71,-137.11,0.0,top
D4_5,100.0,-137.11,0.0,top
D4_4,157.42,-108.4,0.0,top
D4_3,128.71,-108.4,0.0,top
D4_2,100.0,-108.4,0.0,top
D4,157.42,-165.82,0.0,top
J1_9,135.01,-151.62,90.0,top
J1_8,106.3,-151.62,90.0,top
J1_7,163.72,-122.91,90.0,top
J1_6,135.01,-122.91,90.0,top
J1_5,106.3,-122.91,90.0,top
J1_4,163.72,-94.2,90.0,top
J1_3,135.01,-94.2,90.0,top
J1_2,106.3,-94.2,90.0,top
J1,163.72,-151.62,90.0,top
J2_9,137.51,-154.12,90.0,top
J2_8,108.8,-154.12,90.0,top
J2_7,166.22,-125.41,90.0,top
J2_6,137.51,-125.41,90.0,top
J2_5,108.8,-125.41,90.0,top
J2_4,166.22,-96.7,90.0,top
J2_3,137.51,-96.7,90.0,top
J2_2,108.8,-96.7,90.0,top
J2,166.22,-154.12,90.0,top
J3_9,135.01,-154.12,0.0,top
J3_8,106.3,-154.12,0.0,top
J3_7,163.72,-125.41,0.0,top
J3_6,135.01,-125.41,0.0,top
J3_5,106.3,-125.41,0.0,top
J3_4,163.72,-96.7,0.0,top
J3_3,135.01,-96.7,0.0,top
J3_2,106.3,-96.7,0.0,top
J3,163.72,-154.12,0.0,top
J4_9,137.51,-151.62,0.0,top
J4_8,108.8,-151.62,0.0,top
J4_7,166.22,-122.91,0.0,top
J4_6,137.51,-122.91,0.0,top
J4_5,108.8,-122.91,0.0,top
J4_4,166.22,-94.2,0.0,top
J4_3,137.51,-94.2,0.0,top
J4_2,108.8,-94.2,0.0,top
J4,166.22,-151.62,0.0,top
JP1_9,118.41,-152.82,0.0,top
JP1_8,89.7,-152.82,0.0,top
JP1_7,147.12,-124.11,0.0,top
JP1_6,118.41,-124.11,0.0,top
JP1_5,89.7,-124.11,0.0,top
JP1_4,147.12,-95.4,0.0,top
JP1_3,118.41,-95.4,0.0,top
JP1_2,89.7,-95.4,0.0,top
JP1,147.12,-152.82,0.0,top
JP2_9,123.61,-146.92,0.0,top
JP2_8,94.9,-146.92,0.0,top
JP2_7,152.32,-118.21,0.0,top
JP2_6,123.61,-118.21,0.0,top
JP2_5,94.9,-118.21,0.0,top
JP2_4,152.32,-89.5,0.0,top
JP2_3,123.61,-89.5,0.0,top
JP2_2,94.9,-89.5,0.0,top
JP2,152.32,-146.92,0.0,top
Q1_9,120.71,-165.62,90.0,top
Q1_8,92.0,-165.62,90.0,top
Q1_7,149.42,-136.91,90.0,top
Q1_6,120.71,-136.91,90.0,top
Q1_5,92.0,-136.91,90.0,top
Q1_4,149.42,-108.2,90.0,top
Q1_3,120.71,-108.2,90.0,top
Q1_2,92.0,-108.2,90.0,top
Q1,149.42,-165.62,90.0,top
R1_9,127.21,-151.22,180.0,top
R1_8,98.5,-151.22,180.0,top
R1_7,155.92,-122.51,180.0,top
R1_6,127.21,-122.51,180.0,top
R1_5,98.5,-122.51,180.0,top
R1_4,155.92,-93.8,180.0,top
R1_3,127.21,-93.8,180.0,top
R1_2,98.5,-93.8,180.0,top
R1,155.92,-151.22,180.0,top
R10_9,121.21,-160.42,180.0,top
R10_8,92.5,-160.42,180.0,top
R10_7,149.92,-131.71,180.0,top
R10_6,121.21,-131.71,180.0,top
R10_5,92.5,-131.71,180.0,top
R10_4,149.92,-103.0,180.0,top
R10_3,121.21,-103.0,180.0,top
R10_2,92.5,-103.0,180.0,top
R10,149.92,-160.42,180.0,top
R11_9,135.41,-157.42,270.0,top
R11_8,106.7,-157.42,270.0,top
R11_7,164.12,-128.71,270.0,top
R11_6,135.41,-128.71,270.0,top
R11_5,106.7,-128.71,270.0,top
R11_4,164.12,-100.0,270.0,top
R11_3,135.41,-100.0,270.0,top
R11_2,106.7,-100.0,270.0,top
R11,164.12,-157.42,270.0,top
R12_9,131.71,-149.12,180.0,top
R12_8,103.0,-149.12,180.0,top
R12_7,160.42,-120.41,180.0,top
R12_6,131.71,-120.41,180.0,top
R12_5,103.0,-120.41,180.0,top
R12_4,160.42,-91.7,180.0,top
R12_3,131.71,-91.7,180.0,top
R12_2,103.0,-91.7,180.0,top
R12,160.42,-149.12,180.0,top
R13_9,131.81,-165.82,180.0,top
R13_8,103.1,-165.82,180.0,top
R13_7,160.52,-137.11,180.0,top
R13_6,131.81,-137.11,180.0,top
R13_5,103.1,-137.11,180.0,top
R13_4,160.52,-108.4,180.0,top
R13_3,131.81,-108.4,180.0,top
R13_2,103.1,-108.4,180.0,top
R13,160.52,-165.82,180.0,top
R2_9,121.21,-162.02,0.0,top
R2_8,92.5,-162.02,0.0,top
R2_7,149.92,-133.31,0.0,top
R2_6,121.21,-133.31,0.0,top
R2_5,92.5,-133.31,0.0,top
R2_4,149.92,-104.6,0.0,top
R2_3,121.21,-104.6,0.0,top
